コード,銘柄名
2649,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）
2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ
2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ
2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）
2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース
2843,上場インデックスファンド豪州国債（為替ヘッジあり）
2844,上場インデックスファンド豪州国債（為替ヘッジなし）
2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信
2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信
2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ
2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ
2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ
2850,ＮＥＸＴ　ＦＵＮＤＳ　ＳｏｌａｃｔｉｖｅジャパンＥＳＧコア指数連動型上場投信
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ
2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）
2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ
2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ
2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）
2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信
2861,上場インデックスファンドフランス国債（為替ヘッジなし）
2862,上場インデックスファンドフランス国債（為替ヘッジあり）
2863,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ米国株式・債券バランス保守型指数（為替ヘッジあり）連動型上場投信
2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ
2866,グローバルＸ　米国優先証券　ＥＴＦ
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース
2971,エスコンジャパンリート投資法人
2972,サンケイリアルエステート投資法人
2979,ＳＯＳｉＬＡ物流リート投資法人
2989,東海道リート投資法人
3226,日本アコモデーションファンド投資法人
3234,森ヒルズリート投資法人
3249,産業ファンド投資法人
3269,アドバンス・レジデンス投資法人
3279,アクティビア・プロパティーズ投資法人
3281,ＧＬＰ投資法人
3282,コンフォリア・レジデンシャル投資法人
3283,日本プロロジスリート投資法人
3287,星野リゾート・リート投資法人
3290,Ｏｎｅリート投資法人
3292,イオンリート投資法人
3295,ヒューリックリート投資法人
3296,日本リート投資法人
3309,積水ハウス・リート投資法人
3451,トーセイ・リート投資法人
3455,ヘルスケア＆メディカル投資法人
3459,サムティ・レジデンシャル投資法人
3462,野村不動産マスターファンド投資法人
3463,いちごホテルリート投資法人
3466,ラサールロジポート投資法人
3468,スターアジア不動産投資法人
3470,マリモ地方創生リート投資法人
3471,三井不動産ロジスティクスパーク投資法人
3472,日本ホテル＆レジデンシャル投資法人
3476,投資法人みらい
3481,三菱地所物流リート投資法人
3487,ＣＲＥロジスティクスファンド投資法人
3488,ザイマックス・リート投資法人
3492,タカラレーベン不動産投資法人
3493,アドバンス・ロジスティクス投資法人
8301,日本銀行　出資証券
8421,信金中央金庫　優先出資証券
8951,日本ビルファンド投資法人
8952,ジャパンリアルエステイト投資法人
8953,日本都市ファンド投資法人
8954,オリックス不動産投資法人
8955,日本プライムリアルティ投資法人
8956,ＮＴＴ都市開発リート投資法人
8957,東急リアル・エステート投資法人
8958,グローバル・ワン不動産投資法人
8960,ユナイテッド・アーバン投資法人
8961,森トラストリート投資法人
8963,インヴィンシブル投資法人
8964,フロンティア不動産投資法人
8966,平和不動産リート投資法人
8967,日本ロジスティクスファンド投資法人
8968,福岡リート投資法人
8972,ＫＤＸ不動産投資法人
8975,いちごオフィスリート投資法人
8976,大和証券オフィス投資法人
8977,阪急阪神リート投資法人
8979,スターツプロシード投資法人
8984,大和ハウスリート投資法人
8985,ジャパン・ホテル・リート投資法人
8986,大和証券リビング投資法人
8987,ジャパンエクセレント投資法人
9282,いちごグリーンインフラ投資法人
9284,カナディアン・ソーラー・インフラ投資法人
9285,東京インフラ・エネルギー投資法人
9286,エネクス・インフラ投資法人
9287,ジャパン・インフラファンド投資法人
